"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2021-01-14","","8902.7900390625","","","","","0.793548285961151","3.1159999370575","","79","","146","159","","","0.826064523911478","59.65","11","35","2","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-15","","6916.169921875","","","","","0.596681654453278","3.22000002861023","","78","","144","160","","","0.843760474288512","46.45","11","24","1","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-16","","10011.73046875","","","","","0.704923391342163","3.9449999332428","","82","","173","182","","","1.05912151128913","86.84","0","0","5","37","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-18","","11811.8701171875","","","","","1.04211354255676","3.14800000190735","","81","","144","168","","","0.829841624036303","79.59","25","31","7","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-20","","6446.52978515625","","","","","0.44078916311264","4.06199979782104","","82","","172","180","","","1.0564744063495","53.4","1","0","3","23","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-21","","7675.41015625","","","","","0.671020328998566","3.17700004577637","","79","","137","150","","","0.83116089505038","50.85","35","5","0","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-22","","8906.3203125","","","","","0.74705696105957","3.31200003623962","","77","","146","161","","","0.871317925248801","62.36","12","31","2","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-24","","16099.849609375","","","","","1.35631024837494","3.29699993133545","","79","","147","164","","","0.874301109850506","115.74","19","58","4","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-25","","10516.240234375","","","","","0.881806373596191","3.31299996376038","","78","","146","162","","","0.875924177050654","74.72","15","35","3","0","0","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-29","","12800.259765625","","","","","1.07601916790009","3.30399990081787","","79","","148","165","","","0.866687922755529","89.71","11","49","5","0","0","","","","","","","","","","","","","","","","",""
